item,SE_LTibX,SE_LTibY,SE_LTibZ,SE_RTibX,SE_RTibY,SE_RTibZ,SE_PelvisX,SE_PelvisY,SE_PelvisZ,SE_ThorX,SE_ThorY,SE_ThorZ
Pt_1,0.65,0.74,0.34,0.65,0.74,0.34,0.41,0.66,0.76,0.42,0.47,0.19
Pt_2,0.59,0.73,0.38,0.59,0.73,0.38,0.4,0.64,0.65,0.24,0.64,0.48
Pt_3,0.5,0.75,0.33,0.5,0.75,0.33,0.47,0.4,0.61,0.34,0.52,0.26
Pt_4,0.57,0.45,0.38,0.57,0.45,0.38,0.24,0.65,0.5,0.28,0.43,0.25
Pt_5,0.6,0.69,0.33,0.6,0.69,0.33,0.43,0.62,0.51,0.35,0.63,0.28
Pt_6,0.58,0.75,0.34,0.58,0.75,0.34,0.3,0.57,0.66,0.3,0.37,0.2
Pt_7,0.62,0.76,0.27,0.62,0.76,0.27,0.44,0.71,0.72,0.42,0.68,0.44
Pt_8,0.55,0.69,0.39,0.55,0.69,0.39,0.38,0.66,0.56,0.45,0.47,0.34
Pt_9,0.7,0.61,0.32,0.7,0.61,0.32,0.52,0.63,0.63,0.47,0.52,0.35
Pt_10,0.63,0.57,0.49,0.63,0.57,0.49,0.3,0.62,0.5,0.42,0.52,0.35
Pt_11,0.46,0.48,0.27,0.46,0.48,0.27,0.35,0.9,0.69,0.61,0.65,0.47
Pt_12,0.68,0.45,0.44,0.68,0.45,0.44,0.44,0.82,0.71,0.48,0.66,0.33
Pt_13,0.43,0.4,0.39,0.43,0.4,0.39,0.35,0.83,0.57,0.48,0.54,0.22
Pt_14,0.54,0.52,0.33,0.54,0.52,0.33,0.48,0.64,0.71,0.44,0.6,0.33
Pt_15,0.64,0.74,0.42,0.64,0.74,0.42,0.42,0.61,0.6,0.45,0.55,0.37
AR,0.64,0.48,0.36,10.53,12.89,9.44,0.64,0.48,0.36,10.53,12.89,9.44
JS,0.62,0.51,0.33,12.16,13.52,9.56,0.62,0.51,0.33,12.16,13.52,9.56