TREATMENT,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,1,-4.809519768,-2.650143623,-1.668608904,-6.674435616,-6.34872961,-1.897633791,-3.369935751,-5.365722656,-3.533524752,-5.169415951,-6.510846615,-6.412693501,-6.707153797,-2.093940496,-3.239064455
PRE,2,-4.024291992,-2.650143623,-1.668608904,-6.805306911,-7.154405594,-1.897633791,-2.388401031,-4.547777176,-4.220599174,-5.169415951,-6.838024616,-6.281822205,-6.609000206,-3.140911102,-3.827985287
PRE,3,-4.842237473,-2.650143623,-1.537737727,-6.805306911,-6.316502571,-2.159376144,-2.551990271,-3.697113752,-3.729831934,-4.645930767,-6.576282501,-6.609000206,-6.379975319,-2.617425919,-3.991574287
PRE,4,-5.202133656,-2.977321625,-1.537737727,-6.412693501,-5.607507229,-1.930351615,-2.650143623,-5.692901134,-3.468089104,-5.07126236,-6.641717911,-6.838024616,-6.805306911,-1.897633791,-2.813732624
PRE,5,-4.711366177,-3.173628807,-1.63589108,-6.739871502,-6.026459217,-2.093940496,-2.715579271,-4.580495358,-3.140911102,-5.07126236,-6.805306911,-5.758336544,-6.805306911,-2.322965384,-3.140911102
PRE,6,-5.103980541,-3.173628807,-1.668608904,-6.739871502,-7.154405594,-1.930351615,-2.290247679,-3.5989604,-3.566242456,-5.823771954,-6.609000206,-6.412693501,-6.772589207,-2.453836679,-2.453836679
PRE,7,-5.562029839,-3.108193159,-1.603173375,-6.216386318,-6.654886723,-2.355683088,-3.20634675,-4.155163288,-4.253316879,-5.823771954,-6.576282501,-6.707153797,-6.772589207,-3.468089104,-1.63589108
PRE,8,-6.576282501,-2.715579271,-1.63589108,-6.379975319,-7.831173897,-2.224812031,-2.519272327,-4.449624062,-4.874955654,-5.300287247,-6.838024616,-6.870742798,-6.216386318,-2.781014919,-1.766762376
PRE,9,-5.627465248,-3.108193159,-2.159376144,-6.379975319,-7.605585098,-1.995787144,-2.551990271,-4.122445583,-3.402653456,-5.300287247,-6.870742798,-6.379975319,-6.674435616,-2.617425919,-1.766762376
PRE,10,-6.2491045,-3.140911102,-2.159376144,-6.805306911,-7.605585098,-2.12665844,-2.617425919,-4.089727879,-4.645930767,-5.202133656,-6.805306911,-6.805306911,-5.987361431,-2.421118736,-2.421118736
PRE,11,-6.052796841,-3.140911102,-1.537737727,-6.576282501,-6.928816319,-2.061222792,-2.290247679,-4.416906357,-3.926138639,-4.842237473,-6.510846615,-6.739871502,-6.47812891,-2.028505087,-1.7994802
PRE,12,-6.609000206,-3.827985287,-1.668608904,-6.674435616,-6.429297447,-2.290247679,-2.093940496,-4.973108768,-3.631678104,-4.940391064,-6.870742798,-6.772589207,-6.47812891,-2.519272327,-2.682861328
PRE,13,-5.823771954,-3.827985287,-1.668608904,-6.838024616,-7.106065273,-2.453836679,-2.159376144,-4.874955654,-4.645930767,-5.496593952,-6.510846615,-6.118233204,-6.576282501,-2.911885977,-2.813732624
PRE,14,-6.707153797,-2.846450567,-1.439584136,-6.838024616,-6.654886723,-1.832198024,-2.322965384,-4.351469994,-5.005826473,-5.496593952,-6.445411205,-6.2491045,-6.576282501,-1.897633791,-2.682861328
PRE,15,-6.445411205,-2.781014919,-1.734044552,-6.805306911,-6.735454082,-2.028505087,-2.159376144,-4.645930767,-4.122445583,-5.365722656,-6.47812891,-6.739871502,-6.707153797,-3.140911102,-1.995787144
PRE,16,-6.281822205,-3.27178216,-1.701326728,-6.838024616,-6.622659683,-2.093940496,-2.290247679,-5.005826473,-3.468089104,-5.07126236,-6.412693501,-6.641717911,-6.641717911,-2.12665844,-3.402653456
PRE,17,-6.281822205,-3.27178216,-1.701326728,-6.838024616,-6.574318886,-1.930351615,-2.453836679,-4.809519768,-3.893420935,-4.482341766,-6.314539909,-6.609000206,-6.641717911,-3.337217808,-3.042757511
PRE,18,-6.805306911,-3.435371399,-1.537737727,-6.707153797,-6.912703037,-2.159376144,-2.453836679,-4.613213062,-4.384188175,-5.758336544,-6.576282501,-6.314539909,-6.674435616,-2.028505087,-2.224812031
PRE,19,-6.445411205,-3.435371399,-1.570455551,-6.707153797,-7.025497437,-1.930351615,-2.322965384,-3.958856583,-4.122445583,-5.758336544,-6.870742798,-6.805306911,-6.674435616,-2.290247679,-3.86070323
PRE,20,-5.791054249,-2.813732624,-1.63589108,-6.707153797,-7.460563183,-1.995787144,-2.421118736,-5.267569542,-4.449624062,-5.169415951,-6.772589207,-6.739871502,-6.281822205,-2.388401031,-3.893420935
PRE,21,-6.54356432,-2.846450567,-1.668608904,-6.772589207,-6.461524487,-2.093940496,-2.192094088,-4.678648472,-4.089727879,-5.169415951,-6.707153797,-6.118233204,-6.54356432,-2.159376144,-3.435371399
PRE,22,-6.641717911,-2.846450567,-2.257529736,-6.772589207,-7.670039177,-1.995787144,-2.388401031,-4.187880993,-3.533524752,-5.333004951,-6.707153797,-6.609000206,-6.54356432,-2.257529736,-4.155163288
PRE,23,-6.54356432,-2.846450567,-2.257529736,-6.510846615,-7.170519352,-1.96306932,-2.682861328,-4.515059471,-5.267569542,-5.333004951,-6.739871502,-6.47812891,-6.47812891,-2.650143623,-2.519272327
PRE,24,-6.445411205,-2.846450567,-1.505019784,-6.510846615,-7.170519352,-2.061222792,-2.584707975,-4.580495358,-3.926138639,-5.496593952,-6.739871502,-6.707153797,-6.510846615,-2.486554384,-1.537737727
PRE,25,-6.739871502,-3.729831934,-1.47230196,-6.347257614,-7.62169838,-2.322965384,-2.388401031,-5.136698246,-4.547777176,-5.496593952,-6.739871502,-6.641717911,-6.674435616,-2.061222792,-3.664396048
PRE,26,-6.707153797,-3.729831934,-2.159376144,-6.347257614,-6.703227043,-2.519272327,-2.748296976,-3.402653456,-3.827985287,-5.496593952,-6.707153797,-6.445411205,-6.674435616,-2.355683088,-2.519272327
PRE,27,-6.707153797,-3.140911102,-2.159376144,-6.54356432,-7.847287655,-2.257529736,-2.322965384,-4.155163288,-3.369935751,-5.496593952,-6.838024616,-6.445411205,-6.54356432,-2.519272327,-2.617425919
PRE,28,-6.183668613,-3.140911102,-1.897633791,-6.576282501,-5.462485313,-2.224812031,-2.453836679,-3.5989604,-3.468089104,-4.907673359,-6.772589207,-6.445411205,-6.609000206,-2.322965384,-2.519272327
PRE,29,-6.2491045,-2.911885977,-1.897633791,-6.576282501,-7.670039177,-1.7994802,-2.159376144,-4.547777176,-3.729831934,-6.085515022,-6.707153797,-6.445411205,-6.412693501,-2.682861328,-1.930351615
PRE,30,-6.805306911,-2.813732624,-1.63589108,-6.412693501,-7.911741734,-1.96306932,-2.551990271,-4.449624062,-4.416906357,-6.085515022,-6.674435616,-6.281822205,-6.412693501,-2.093940496,-2.682861328
PRE,31,-6.707153797,-2.813732624,-1.47230196,-6.412693501,-7.202746391,-1.7994802,-2.257529736,-5.758336544,-5.202133656,-5.921925545,-6.739871502,-6.281822205,-6.2491045,-3.173628807,-2.682861328
PRE,32,-6.772589207,-2.682861328,-1.341430664,-6.379975319,-7.122178555,-2.650143623,-2.290247679,-3.991574287,-5.856490135,-5.95464325,-6.838024616,-6.379975319,-6.772589207,-3.140911102,-2.846450567
PRE,33,-6.641717911,-2.94460392,-1.832198024,-6.445411205,-7.718379498,-2.551990271,-2.617425919,-5.496593952,-4.286034584,-5.95464325,-6.576282501,-6.216386318,-6.47812891,-2.617425919,-1.897633791
PRE,34,-6.609000206,-2.94460392,-1.864915967,-6.47812891,-7.782833576,-1.930351615,-2.486554384,-4.874955654,-5.627465248,-5.791054249,-6.314539909,-6.47812891,-6.412693501,-2.813732624,-2.061222792
PRE,35,-6.739871502,-2.551990271,-1.864915967,-6.510846615,-7.782833576,-2.061222792,-2.421118736,-4.286034584,-5.529312134,-6.183668613,-6.674435616,-6.47812891,-6.707153797,-2.355683088,-2.421118736
PRE,36,-6.838024616,-2.748296976,-1.603173375,-6.510846615,-7.057724476,-1.96306932,-2.519272327,-5.529312134,-6.314539909,-6.183668613,-6.838024616,-6.772589207,-6.805306911,-2.682861328,-2.290247679
PRE,37,-6.347257614,-2.748296976,-1.537737727,-6.805306911,-6.638772964,-2.061222792,-2.486554384,-3.926138639,-4.416906357,-5.791054249,-6.510846615,-6.641717911,-6.54356432,-2.159376144,-1.96306932
PRE,38,-6.609000206,-2.682861328,-1.537737727,-6.805306911,-6.961043358,-2.192094088,-3.27178216,NaN,-3.402653456,-6.216386318,-6.805306911,-6.707153797,-6.772589207,-2.879168272,-2.911885977
PRE,39,-6.674435616,-2.519272327,-1.505019784,-6.510846615,-6.719340801,-2.486554384,-2.322965384,NaN,-3.795267582,-6.216386318,-6.805306911,-6.510846615,-6.772589207,-2.748296976,-1.63589108
PRE,40,-6.641717911,-2.650143623,-1.668608904,-6.510846615,-7.686152458,-1.930351615,-2.421118736,NaN,-4.057010174,-5.791054249,-6.609000206,-5.987361431,-6.805306911,-2.322965384,-2.748296976
PRE,41,-6.54356432,-2.977321625,-1.668608904,-6.510846615,-7.347768784,-1.832198024,-2.355683088,NaN,-4.351469994,-5.791054249,-6.674435616,-6.772589207,-6.445411205,-1.995787144,-2.192094088
PRE,42,-6.510846615,-2.977321625,-1.897633791,-6.805306911,-7.379995346,-2.290247679,-2.421118736,NaN,-4.842237473,-5.823771954,-6.968895912,-6.739871502,-6.772589207,-2.192094088,-2.388401031
PRE,43,-6.576282501,-2.94460392,-1.897633791,-6.805306911,-7.154405594,-1.7994802,-2.748296976,NaN,-3.958856583,-5.823771954,-6.772589207,-6.379975319,-6.772589207,-2.355683088,-2.551990271
PRE,44,-6.674435616,-2.94460392,-1.537737727,-6.772589207,-7.508903503,-1.96306932,-2.322965384,NaN,-5.431158543,-5.365722656,-6.609000206,-6.674435616,-6.379975319,-2.061222792,-2.911885977
PRE,45,-6.903460503,-2.650143623,-2.519272327,-6.772589207,-6.816021919,-1.766762376,-2.519272327,NaN,-5.136698246,-5.365722656,-6.609000206,-6.838024616,-6.707153797,-1.864915967,-3.86070323
PRE,46,-6.903460503,-2.781014919,-2.519272327,-6.772589207,-6.848248959,-2.093940496,-2.257529736,NaN,-6.118233204,-4.940391064,-6.47812891,-6.870742798,-6.609000206,-3.369935751,-2.94460392
PRE,47,-6.805306911,-3.239064455,-1.734044552,-6.576282501,-6.397070408,-2.486554384,-2.486554384,NaN,-4.907673359,-5.921925545,-6.641717911,-6.739871502,-6.576282501,-2.846450567,-2.519272327
PRE,48,-6.674435616,-3.239064455,-1.734044552,-6.576282501,-7.26720047,-1.734044552,-2.715579271,NaN,-5.431158543,-5.921925545,-6.739871502,-6.903460503,-6.609000206,-3.010039568,-2.617425919
PRE,49,NaN,NaN,-1.766762376,NaN,-7.670039177,-1.930351615,NaN,NaN,NaN,-5.300287247,-6.641717911,-6.674435616,-6.609000206,-2.748296976,-2.650143623
POST,1,-5.301350594,-2.846450567,-1.537737727,-6.805306911,-8.024536133,-1.897633791,-2.846450567,-4.711366177,-4.155163288,-5.594747543,-6.54356432,-6.052796841,-6.641717911,-2.911885977,-2.617425919
POST,2,-6.78379488,-2.617425919,-1.406866312,-6.739871502,-8.088990211,-2.159376144,-2.846450567,-4.318752289,-3.86070323,-5.594747543,-6.772589207,-6.674435616,-6.281822205,-2.584707975,-2.846450567
POST,3,-7.299427509,-2.584707975,-1.537737727,-5.791054249,-7.831173897,-1.930351615,-2.879168272,-4.416906357,-5.169415951,-5.103980541,-6.739871502,-6.674435616,-6.641717911,-2.093940496,-2.846450567
POST,4,-5.94589138,-2.551990271,-1.439584136,-6.576282501,-8.008422852,-1.995787144,-3.369935751,-3.926138639,-3.369935751,-5.103980541,-6.772589207,-6.54356432,-6.281822205,-1.930351615,-2.519272327
POST,5,-7.299427509,-2.617425919,-1.341430664,-6.576282501,-7.879514694,-1.63589108,-2.977321625,-4.515059471,-4.809519768,-5.234851837,-6.936178207,-6.707153797,-6.609000206,-1.96306932,-2.355683088
POST,6,-5.05964756,-2.617425919,-1.570455551,-6.609000206,-7.782833576,-1.570455551,-2.715579271,-4.874955654,-4.613213062,-5.234851837,-6.510846615,-6.576282501,-6.2491045,-1.864915967,-2.846450567
POST,7,-4.769603729,-2.584707975,-1.505019784,-6.609000206,-6.413183689,-2.093940496,-2.94460392,-5.463876247,-5.496593952,-4.809519768,-6.739871502,-6.379975319,-6.772589207,-1.897633791,-2.12665844
POST,8,-6.074800014,-2.846450567,-1.570455551,-6.47812891,-5.49471283,-1.897633791,-2.911885977,-4.842237473,-5.202133656,-4.809519768,-6.838024616,-6.641717911,-6.772589207,-2.192094088,-2.682861328
POST,9,-5.317463875,-2.846450567,-1.570455551,-6.47812891,-7.766719818,-1.505019784,-2.748296976,-5.365722656,-5.856490135,-5.431158543,-6.54356432,-6.576282501,-6.510846615,-2.355683088,-2.192094088
POST,10,-4.382879257,-2.617425919,-1.832198024,-6.674435616,-7.218859673,-1.505019784,-2.682861328,-5.660182953,-5.660182953,-5.431158543,-6.641717911,-6.772589207,-6.379975319,-2.257529736,-2.355683088
POST,11,-6.252048492,-2.650143623,-1.832198024,-6.674435616,-8.088990211,-1.603173375,-3.20634675,-5.463876247,-4.220599174,-5.234851837,-6.379975319,-6.085515022,-6.739871502,-2.224812031,-2.682861328
POST,12,-7.444449425,-2.650143623,-1.406866312,-6.347257614,-7.782833576,-1.537737727,-3.140911102,-5.169415951,-5.987361431,-5.234851837,-6.576282501,-6.772589207,-6.47812891,-1.96306932,-2.453836679
POST,13,-6.364843369,-2.650143623,-1.505019784,-6.739871502,-7.99230957,-2.028505087,-3.239064455,-5.95464325,-6.085515022,-5.692901134,-6.805306911,-6.576282501,-6.445411205,-2.617425919,-2.224812031
POST,14,-5.172442436,-2.846450567,-1.406866312,-6.739871502,-7.686152458,-1.734044552,-2.94460392,-5.692901134,-5.692901134,-5.692901134,-6.805306911,-6.2491045,-6.838024616,-2.12665844,-3.010039568
POST,15,-4.801830769,-2.846450567,-1.374148488,-6.510846615,-6.090913296,-1.603173375,-2.748296976,-4.940391064,-5.07126236,-4.744084358,-6.445411205,-6.609000206,-6.674435616,-2.093940496,-2.977321625
POST,16,-5.156328678,-2.813732624,-1.832198024,-6.805306911,-7.895627975,-1.864915967,-3.827985287,-5.07126236,-4.613213062,-5.136698246,-6.739871502,-6.707153797,-6.805306911,-2.584707975,-2.421118736
POST,17,-5.107988358,-2.650143623,-1.668608904,-6.805306911,-7.605585098,-1.505019784,-3.893420935,-5.987361431,-5.333004951,-5.88920784,-6.739871502,-6.609000206,-6.805306911,-3.402653456,-2.781014919
POST,18,-4.995193481,-2.715579271,-1.47230196,-6.641717911,-6.816021919,-1.832198024,-3.20634675,-5.333004951,-5.692901134,-5.88920784,-6.838024616,-6.707153797,-6.772589207,-2.355683088,-3.010039568
POST,19,-4.221744061,-2.748296976,-1.47230196,-6.641717911,-5.333577156,-1.505019784,-3.566242456,-5.95464325,-5.823771954,-5.333004951,-6.838024616,-6.641717911,-6.150950909,-2.159376144,-2.224812031
POST,20,-5.94589138,-2.911885977,-1.505019784,-6.54356432,-7.057724476,-1.96306932,-3.893420935,-4.809519768,-5.627465248,-4.842237473,-6.510846615,-6.739871502,-6.445411205,-2.028505087,-2.519272327
POST,21,-6.058686256,-2.911885977,-1.537737727,-6.641717911,-7.492790222,-1.734044552,-3.500806808,-5.562029839,-4.580495358,-4.678648472,-6.510846615,-6.739871502,-6.609000206,-1.995787144,-2.486554384
POST,22,-5.849209785,-2.617425919,-1.701326728,-6.641717911,-8.088990211,-1.537737727,-3.369935751,-5.07126236,-4.645930767,-5.692901134,-6.707153797,-6.052796841,-6.54356432,-2.781014919,-2.322965384
POST,23,-5.285236835,-2.519272327,-1.701326728,-6.641717911,-7.525017262,-1.63589108,-2.879168272,-5.300287247,-5.529312134,-5.692901134,-6.379975319,-6.674435616,-6.54356432,-2.650143623,-2.093940496
POST,24,-5.639734268,-2.748296976,-1.603173375,-6.47812891,-7.573357582,-1.897633791,-3.566242456,-4.907673359,-5.398440838,-6.085515022,-6.183668613,-6.641717911,-6.870742798,-2.879168272,-2.911885977
POST,25,-4.995193481,-2.748296976,-1.603173375,-6.609000206,-7.831173897,-1.766762376,-3.27178216,-5.038544655,-4.678648472,-6.085515022,-6.54356432,-6.54356432,-6.772589207,-2.388401031,-2.486554384
POST,26,-5.301350594,-2.781014919,-1.243277192,-6.609000206,-7.879514694,-1.7994802,-3.402653456,-5.202133656,-5.365722656,-6.150950909,-6.609000206,-6.641717911,-6.510846615,-2.94460392,-2.519272327
POST,27,-4.769603729,-2.781014919,-1.341430664,-6.510846615,-8.008422852,-2.617425919,-3.958856583,-5.758336544,-5.463876247,-6.150950909,-6.54356432,-6.772589207,-6.772589207,-2.453836679,-2.781014919
POST,28,-3.996154785,-2.748296976,-1.308712959,-6.510846615,-8.105104446,-1.734044552,-4.220599174,-5.365722656,-5.791054249,-5.725618839,-6.805306911,-6.379975319,-6.674435616,-2.061222792,-2.813732624
POST,29,-5.414144993,-2.846450567,-2.061222792,-6.379975319,-8.040649414,-1.47230196,-3.435371399,-5.300287247,-4.973108768,-6.052796841,-6.609000206,-6.216386318,-6.772589207,-2.813732624,-2.715579271
POST,30,-6.139254093,-2.846450567,-2.061222792,-6.641717911,-7.54113102,-1.603173375,-4.089727879,-5.038544655,-5.103980541,-6.052796841,-6.968895912,-6.772589207,-6.739871502,-2.388401031,-2.911885977
POST,31,-5.446372032,-2.781014919,-1.766762376,-6.641717911,-7.508903503,-1.603173375,-3.664396048,-5.103980541,-5.791054249,-5.627465248,-6.54356432,-6.772589207,-6.805306911,-1.930351615,-2.322965384
POST,32,-5.381917953,-2.781014919,-1.177841544,-6.412693501,-7.782833576,-1.668608904,-4.024291992,-4.416906357,-5.627465248,-5.627465248,-6.772589207,-6.805306911,-6.772589207,-2.617425919,-2.879168272
POST,33,-5.462485313,-2.781014919,-1.603173375,-6.54356432,-8.024536133,-1.7994802,-3.664396048,-4.809519768,-5.758336544,-5.627465248,-6.805306911,-6.739871502,-6.739871502,-2.061222792,-2.781014919
POST,34,-6.928816319,-2.781014919,-1.603173375,-6.707153797,-7.460563183,-2.093940496,-3.468089104,-3.827985287,-4.973108768,-4.678648472,-6.838024616,-6.2491045,-6.314539909,-2.355683088,-2.486554384
POST,35,-6.896589279,-2.813732624,-1.603173375,-6.707153797,-7.234973431,-1.734044552,-4.384188175,-5.529312134,-4.809519768,-4.449624062,-6.510846615,-6.739871502,-6.739871502,-2.94460392,-2.486554384
POST,36,-6.042572975,-2.813732624,-1.275995135,-6.609000206,-8.15344429,-1.47230196,-3.435371399,-5.234851837,-5.496593952,-4.449624062,-6.609000206,-6.052796841,-6.772589207,-2.224812031,-3.337217808
POST,37,-5.05964756,-2.682861328,-1.406866312,-6.674435616,-7.670039177,-2.12665844,-3.827985287,-5.038544655,-5.594747543,-5.627465248,-6.54356432,-6.805306911,-6.772589207,-2.192094088,-3.337217808
POST,38,-5.929777622,-2.682861328,-1.439584136,-6.674435616,-7.782833576,-1.897633791,-3.631678104,-5.07126236,-4.613213062,-5.627465248,-6.510846615,-6.838024616,-6.707153797,-2.093940496,-2.551990271
POST,39,-5.414144993,-2.715579271,-1.341430664,-6.674435616,-8.088990211,-1.668608904,-2.94460392,NaN,-5.823771954,-5.692901134,-6.707153797,-6.609000206,-6.805306911,-2.486554384,-2.453836679
POST,40,-5.800869465,-2.846450567,-1.406866312,-6.674435616,-8.040649414,-1.701326728,-3.926138639,NaN,-5.136698246,-5.692901134,-6.772589207,-6.805306911,-6.805306911,-1.832198024,-2.486554384
POST,41,-6.139254093,-2.846450567,-1.406866312,-6.609000206,-6.477637768,-2.159376144,-3.402653456,NaN,-5.987361431,-5.202133656,-6.576282501,-6.838024616,-6.772589207,-2.224812031,-2.486554384
POST,42,-4.946852684,-2.813732624,-1.766762376,-6.609000206,-7.895627975,-1.603173375,-3.664396048,NaN,-5.202133656,-4.809519768,-6.739871502,-6.347257614,-6.739871502,-2.159376144,-2.486554384
POST,43,-6.429297447,-2.650143623,-1.47230196,-6.609000206,-7.99230957,-2.028505087,-3.729831934,NaN,-6.379975319,-4.940391064,-6.707153797,-6.445411205,-6.609000206,-2.813732624,-2.682861328
POST,44,-6.090913296,-2.617425919,-1.96306932,-6.609000206,-6.332616329,-1.701326728,-3.795267582,NaN,-6.2491045,-4.973108768,-6.379975319,-6.576282501,-6.510846615,-1.766762376,-2.977321625
POST,45,-6.058686256,-2.650143623,-1.96306932,-6.609000206,-5.704188347,-1.832198024,-3.27178216,NaN,-6.47812891,-4.973108768,-6.576282501,-6.445411205,-6.445411205,-2.453836679,-2.94460392
POST,46,-7.089951515,-2.650143623,-1.341430664,-6.641717911,-8.008422852,NaN,-3.729831934,NaN,-6.510846615,-6.183668613,-6.903460503,-6.707153797,-6.838024616,-2.257529736,-2.551990271
POST,47,-6.944930077,-2.617425919,-1.341430664,-6.641717911,-6.219821453,NaN,-4.089727879,NaN,-5.823771954,-6.183668613,-6.805306911,-6.641717911,-6.838024616,-2.781014919,-2.748296976
POST,48,-6.78379488,NaN,-1.374148488,NaN,-7.670039177,NaN,-3.827985287,NaN,-5.823771954,-5.758336544,-6.674435616,-6.838024616,-6.838024616,-1.995787144,NaN
POST,49,NaN,NaN,-1.374148488,NaN,-8.056763649,NaN,-3.762549639,NaN,NaN,-5.758336544,-6.739871502,-6.772589207,-6.838024616,-2.290247679,NaN
