Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,
PRE,1,3.524769564,4.730197431,6.354308344,6.382781758,7.337376264,6.043532403,2.042757575,6.323897396,3.654447665,5.207253288,5.749552949,3.601712441,5.49479686,2.576583295,5.813559954,
PRE,2,4.711485866,5.654921167,6.354308344,6.382781758,7.29300455,6.543923889,2.063268789,6.039427711,3.974184995,5.626388908,5.908498139,2.652252798,5.027631504,2.503863321,6.235152439,
PRE,3,3.777922422,5.654921167,6.342363138,5.800035618,7.657943847,6.10888337,2.38578085,6.296807695,3.249036208,4.358835653,6.179232286,2.863613443,5.892442153,3.104880638,6.300107619,
PRE,4,3.669029249,4.524373352,6.138935756,5.879617258,7.540670922,6.535831272,2.170254004,6.203718202,4.266756731,5.147730611,6.136536212,3.64108981,4.845146361,3.160312636,6.12557829,
PRE,5,3.367430881,5.665689269,6.477793846,5.778276993,7.067021365,5.640831504,1.999708733,6.193532285,4.829375678,4.419912343,5.93347715,2.825327545,4.84010843,4.708298971,6.185417673,
PRE,6,3.959422051,5.665689269,6.388869212,5.92420736,7.622362652,6.068337197,2.297365594,6.355399924,4.917043187,4.146275316,5.892209527,2.904677189,5.135355127,2.708099954,6.491023577,
PRE,7,2.927774391,4.879930479,6.829683256,6.295487151,7.287555469,6.872495231,1.972464004,6.121971432,3.922700262,4.925810764,5.723731368,2.633151581,4.463190492,2.735280656,5.972274742,
PRE,8,4.043322507,4.879930479,5.711540982,6.105494296,6.763927703,6.394951627,1.87786672,6.102480844,5.501797934,4.067989282,5.482258745,3.23338801,4.322557247,3.192479655,6.16116826,
PRE,9,4.059427945,5.33146908,6.18526898,6.176249558,7.076429785,6.218933734,1.975883262,5.774248831,4.36073307,3.934320761,5.510271381,2.929136745,5.894538502,2.819166249,6.320973386,
PRE,10,5.802396612,4.757407345,6.365580458,6.08890333,7.210960583,6.210773137,1.690431727,6.212257731,3.885703102,5.099395105,5.757161297,2.862643618,4.48235919,3.396379341,5.628811767,
PRE,11,4.21066613,4.377281145,6.163111369,6.253180168,7.46678062,6.397990535,2.043637002,6.409123591,2.80400093,4.695720577,5.119107253,3.253568409,5.647678811,2.56924312,6.092224635,
PRE,12,4.119163085,4.137635614,6.489022945,6.338498553,6.617813677,6.385971396,1.856961002,5.976572286,5.366875174,4.258213156,5.249703649,2.964800564,5.137536012,3.294144239,5.801924276,
PRE,13,3.997158505,4.840291247,6.384159219,6.380389115,7.489504816,5.947666264,1.828909507,6.065004464,4.50914117,4.679911765,5.641798503,2.936621585,4.925901327,2.760272759,6.071440703,
PRE,14,2.756000337,3.284036203,6.483803703,6.408040394,6.953457857,6.197994926,2.351621255,5.634380673,4.820187109,4.035143996,5.49075769,3.52902579,5.279947553,2.806673341,5.809159706,
PRE,15,3.316149309,4.142113308,5.918021011,6.22449228,6.932455115,6.64974569,2.179862784,6.203718202,5.674195256,4.485384807,5.485560515,2.753291765,4.12261188,3.309447877,6.165875346,
PRE,16,4.573373365,4.952396277,6.358092032,6.481586448,6.501811511,6.623813921,1.901390299,6.358673839,4.271936734,5.295269922,6.036461579,2.352419525,5.818271797,2.857096858,6.011468238,
PRE,17,4.39090025,5.46042383,6.598709681,6.481586448,7.757549892,6.823664967,1.971383653,6.192713696,4.428595436,4.545067671,4.76456059,3.158382509,4.562126184,2.63241524,6.319438133,
PRE,18,3.81930294,4.350239346,6.598709681,6.141634148,6.465885797,6.876301434,2.281583038,5.97442384,5.044302024,3.643625874,5.576933215,2.727535017,5.954904061,2.633593697,5.940112611,
PRE,19,4.386927452,4.387424271,6.31687827,6.402113666,6.40265322,6.374585428,2.487787291,5.776381746,5.197933532,3.733806551,5.020968256,3.178028613,4.955272526,3.174183983,6.026413839,
PRE,20,5.125576642,4.684433515,6.255172268,6.373206438,7.228649821,6.105494391,1.816964516,6.137586104,4.98888067,4.580666881,6.296220872,2.828684064,5.437101947,2.810748665,5.919335977,
PRE,21,3.205354111,3.765584352,6.326235458,6.373206438,7.732907231,6.501305081,1.76963658,6.282710933,3.948617706,4.617851288,5.238817824,2.728396503,4.150849649,2.474411084,5.495291295,
PRE,22,5.681969344,4.961560569,6.344185661,6.342654615,6.970399004,6.139235513,1.743033937,5.813638684,4.683962287,4.276097811,5.655805602,2.74915394,4.984946976,2.864998144,6.012078916,
PRE,23,4.378475886,4.051911587,6.344185661,6.342654615,6.485023508,5.458020853,1.696988676,5.770771543,4.094008173,4.753966193,6.110539455,2.597324107,3.95380677,2.826446924,6.142233678,
PRE,24,4.618517962,5.126537402,6.208769358,6.482158687,6.829084646,7.082626272,1.912069916,6.306263717,3.384920503,3.794919353,5.989218913,2.419599325,5.50130412,2.890257859,5.902995506,
PRE,25,5.297054423,4.671802034,6.369866409,6.217747378,6.074462412,6.172668901,1.974624098,6.044443868,5.04925862,3.073467632,5.741856634,2.945313758,3.852506284,2.661035099,5.379723621,
PRE,26,3.787769767,4.671802034,6.545413507,6.255467563,6.525017059,6.782716157,2.00541296,6.054769528,4.411215156,5.057128181,5.993429612,2.956286894,4.106915663,2.563389946,4.963714638,
PRE,27,3.876382267,4.816323664,6.545413507,6.4010286,6.219831053,6.070154229,2.336576215,6.137061175,4.0925373,5.006104601,5.104658259,2.9133034,4.05212313,3.099661953,5.988606493,
PRE,28,3.796259024,4.816323664,6.381259554,6.126779748,7.068710483,6.793300028,1.891966812,5.935097939,4.96156052,4.359934184,5.514544816,3.127765487,3.56938094,2.988220506,5.929538857,
PRE,29,3.64950078,5.79405112,6.513282532,6.216709194,7.111076499,6.571542923,2.231951116,6.21292573,4.219492787,3.164941593,5.918252826,2.378184377,4.509626909,2.488554684,5.131689731,
PRE,30,5.077506372,5.79405112,6.513282532,6.441128857,6.590993367,6.563692201,2.093175455,5.900901399,4.911432521,3.658585803,6.12557782,2.893420788,4.177382192,2.499583604,5.276878623,
PRE,31,4.22482202,4.079066622,6.538103905,6.441128857,6.455706342,5.864429676,2.182554534,6.125202586,3.008166951,5.101764047,5.4719295,2.903580449,4.138364869,3.314536885,5.724368057,
PRE,32,3.2148888,4.353139929,6.538103905,6.101275018,7.067809903,6.644146294,1.795603441,6.146728803,3.736406285,3.845331624,6.054997365,2.537309513,5.745031319,2.811450859,5.59327021,
PRE,33,3.583065158,4.188328558,6.639873904,6.065685897,6.330875365,5.606732003,1.904524448,6.163559312,3.79313292,4.656399402,5.37393236,2.69160862,4.022585251,2.943821075,4.808127378,
PRE,34,4.217851468,5.314963466,6.639873904,6.417715315,6.406352534,6.835764729,1.877866686,6.148525972,5.084459032,4.154381036,5.968281827,2.996130638,3.946887023,2.967634494,4.767345487,
PRE,35,3.497004834,5.001290539,6.244467711,6.417715315,6.478985396,5.778671888,1.807257767,5.963056722,2.956286736,4.051911136,5.372924958,2.685659393,4.232908607,3.46846902,4.977340665,
PRE,36,3.171875065,5.121031339,6.244467711,5.880162161,6.8903152,5.960288722,2.016611589,6.219156176,4.583543491,3.952510051,6.056362809,2.777598192,4.980563581,2.982849075,5.122692645,
PRE,37,3.356756286,5.121031339,6.498093703,6.355981909,7.109508009,6.364126866,2.199996999,6.29020301,4.137843942,4.081910971,6.329522008,2.493307611,3.612864743,2.407212042,5.416865424,
PRE,38,3.378568964,5.092371032,6.498093703,5.748918423,6.9838583,5.990138244,1.833824274,NaN,5.023634315,4.08222681,6.03828726,2.854737058,4.325472643,3.655597729,5.581570217,
PRE,39,3.574999923,5.092371032,6.356637085,6.199110475,7.41838884,6.540872084,1.985221067,NaN,4.623469398,4.162889201,5.237187601,2.630646576,4.606406664,3.118938581,5.192145429,
PRE,40,3.297383712,4.992097366,6.559233027,5.993735931,7.206168524,5.694053516,2.277339596,NaN,3.573712836,4.392488951,5.923279829,3.165070077,5.736535482,2.64212716,6.262840357,
PRE,41,2.891358243,4.992097366,6.559233027,6.420961584,6.642993944,6.264461802,2.092483188,NaN,3.594262499,4.72505792,5.844439935,3.579677228,4.914328808,3.059120103,5.908730426,
PRE,42,3.425259455,3.628271169,6.701069293,6.438610701,6.579337554,6.600751924,1.949326111,NaN,4.407554594,4.898924156,5.127673485,2.746012248,4.408741727,2.734994111,5.851162082,
PRE,43,3.879564719,4.134717875,6.701069293,6.438610701,6.703361044,5.862402567,2.18658803,NaN,3.920090267,3.473974927,5.902530196,2.187428013,4.77661835,3.797597899,5.986385598,
PRE,44,4.065031684,3.998657941,6.393431531,5.85834522,6.546138681,5.906328299,2.013416021,NaN,3.610775833,4.172417664,5.221034076,2.646092749,5.426533199,2.825187955,5.715447709,
PRE,45,3.013637978,5.219312684,6.393431531,6.186386128,6.995460407,5.775670695,2.268181236,NaN,5.462080912,4.241493055,5.565774743,2.818605978,4.846153525,2.875370488,6.176771895,
PRE,46,3.314909148,5.219312684,6.216116062,6.047710308,7.12813656,6.796801854,1.942785679,NaN,4.001120015,3.685278864,5.988453198,2.505696088,3.538234407,3.219077085,4.406861587,
PRE,47,3.913885499,5.356526277,6.489022593,6.374585209,6.340874301,6.461169635,1.979118956,NaN,3.088287786,4.71860379,6.185715386,2.445483217,4.362929403,2.783261354,5.094830712,
PRE,48,3.838920877,5.180984604,6.489022593,6.374585209,6.626074405,6.72618715,2.197152182,NaN,3.530798246,3.388702793,5.892442401,3.227188321,4.791701291,3.0760943,5.74931505,
PRE,49,NaN,NaN,6.438467129,NaN,7.136613508,6.128731988,NaN,NaN,NaN,4.162474158,5.612805506,2.64168629,3.933886669,3.45563405,5.467048368,
POST,1,9.092536104,3.992872385,6.013605384,6.335289089,6.869012066,5.888558687,2.072515399,6.458084632,4.885298888,4.676141249,4.370209734,2.950600774,5.085338875,3.221232949,6.315341818,
POST,2,8.722707483,4.602873229,6.320827503,5.953518761,7.885335441,6.555904283,2.204008747,5.632040667,4.682738224,4.112048518,4.867081844,2.401866986,5.592296363,2.931587794,6.078098149,
POST,3,8.592557176,5.067722641,6.439330526,6.431556326,6.748629483,6.496166265,1.923809279,6.300987614,4.566742644,5.38341431,5.294164222,2.457733769,6.042544263,3.184940632,6.543923872,
POST,4,8.389099293,4.748941213,6.345861702,6.431556326,6.775373542,6.297247662,1.624573074,6.438251054,4.048520088,3.687106281,4.349038795,2.608614054,6.147627096,2.954933738,6.463751991,
POST,5,9.038791733,4.011169914,6.347610024,6.386550646,6.434118156,5.82078309,2.154004917,6.614541257,4.884298427,4.560201187,4.109849362,2.794985361,5.732322875,3.060833853,5.844987412,
POST,6,9.457344066,4.925991282,6.106623963,5.968281813,7.424478261,6.186981731,1.578072939,5.960596676,5.013229292,4.489773622,4.959046181,2.662789003,6.11482857,3.185963703,6.31834137,
POST,7,9.149949208,5.603085561,6.750464567,6.399943785,6.335425114,6.598498424,2.10629835,6.558099998,3.849968834,4.153446394,5.732005201,2.8193064,4.234647102,3.314536748,6.284694623,
POST,8,8.992270404,4.839374732,6.248972798,6.39762867,5.753490674,6.548108333,1.635968337,6.430187565,4.486652872,4.781341769,5.125139926,2.708099975,5.51125763,2.556925418,6.260260725,
POST,9,8.763507692,4.678686606,6.455500884,6.39762867,6.540303878,5.730176107,1.726594378,5.961673191,4.473369863,4.21323364,4.591206652,2.400450704,5.09430379,4.052335091,6.662259401,
POST,10,8.939995454,4.678686606,6.36361785,6.143432837,5.895949599,5.787272386,1.619674191,5.485560515,4.562222297,4.367817219,5.013852298,2.438485979,5.822117069,2.820287273,6.144481577,
POST,11,8.272126808,4.191113261,6.464325463,6.219526641,5.811029485,6.418942071,1.620287164,5.823921159,4.739716739,4.510209743,5.70555726,2.342986619,5.285059186,3.015371378,5.962749273,
POST,12,9.043833803,4.221132913,6.51741349,6.5169149,6.257905109,6.725425005,1.685652936,5.821960041,4.840474638,4.425735471,5.489108033,2.648440461,4.534440065,2.883096937,5.843970832,
POST,13,9.292798112,4.828824587,6.853504022,6.525454641,7.594312582,6.031668436,1.765768963,6.256721294,3.669487756,3.841132146,5.359220723,2.41991249,5.397735671,2.421789951,6.353070989,
POST,14,8.973661249,4.557408691,6.504871909,6.496166265,6.049313722,5.64365176,1.56975519,6.555621062,4.053500217,4.202956919,5.328340766,2.679846098,4.994597648,2.674169237,6.259965721,
POST,15,8.582130418,4.757314498,6.80558386,6.209214212,6.291651147,6.619670821,2.099398614,6.471277772,5.193355092,4.036738119,5.265270956,2.64447756,6.078022783,3.053050252,6.467479986,
POST,16,9.853402439,4.372202458,6.80558386,6.336018697,7.338419607,6.816067612,2.033067473,6.449683263,4.463092655,4.926262113,5.476807079,2.44920957,4.69431085,2.816923505,6.607157198,
POST,17,9.138648543,5.295779917,6.266156206,6.321558229,7.530708555,6.288441003,1.753161633,6.496309192,5.606084351,5.035795306,5.345992629,2.413646546,5.772668235,3.52181128,5.997102291,
POST,18,9.370929577,4.779304998,6.606524083,6.321558229,6.860131754,5.764049068,2.187260181,6.258417601,4.409236671,3.673955922,4.697881707,3.186219528,5.089910992,3.360931246,5.935638283,
POST,19,9.114431605,5.412526449,5.961211424,5.750187191,6.182820431,6.18906667,1.750049239,5.956981574,5.806958326,4.611845771,5.348269655,3.028811431,4.569914883,3.569029684,6.022528158,
POST,20,8.708129111,5.412526449,6.527516759,6.166323532,6.69371517,6.739753327,1.854899519,6.393431223,4.222055419,4.185646071,4.671613428,2.880201502,4.494841049,3.252058286,6.061064137,
POST,21,8.555117769,5.140673917,6.577054739,6.05552853,6.401144535,6.217153887,1.754716173,5.653633916,4.348738582,4.336115595,5.622753162,2.447191766,4.87191483,2.924775322,6.471850508,
POST,22,8.668371779,5.364604397,6.422476024,6.020393653,6.496947054,6.512142652,2.084511724,6.57479382,4.97635623,5.157038385,5.452299742,2.959397344,4.062494965,2.798368736,6.599062388,
POST,23,8.662541731,5.404174171,6.357437289,6.419807385,5.471963855,5.844987306,1.713804694,6.56411689,5.01874534,3.893365708,5.330877797,2.643008706,6.06780682,4.185336412,5.868093798,
POST,24,8.626035218,4.72337501,6.751293306,6.419807385,7.534968526,6.362454798,2.118164725,6.032200765,5.438348992,3.626304578,4.561933495,2.934037501,4.404287084,3.155163384,6.625428716,
POST,25,9.126848554,5.442254837,6.146055006,6.135035836,5.767604512,6.776249789,1.502218185,6.192043814,4.787541343,3.963952614,4.840749555,2.963855592,5.778671789,2.784109913,6.451191985,
POST,26,9.733919539,3.776578063,6.564895701,6.135035836,5.857020423,6.554983593,1.956938337,6.471205899,5.678523986,3.733806582,5.242248593,2.82420825,4.403593777,2.652985644,6.502161912,
POST,27,9.254928061,4.869088257,6.376327242,6.244393795,6.813465867,6.934325228,1.658813902,5.991133356,5.462660092,4.132528436,4.963266119,2.492847827,3.732336165,2.681445839,6.429827393,
POST,28,9.131821324,5.06313392,5.895159755,6.436811999,6.825087312,6.473211774,1.854899537,6.481228608,3.926504589,4.911432201,5.901056401,2.565492139,5.414195674,3.053578553,6.301940339,
POST,29,9.740036986,4.890207355,6.327988469,6.436811999,5.749740856,5.674836557,2.046273377,6.14582981,5.045453197,3.567623274,5.036947971,3.025355977,4.411314326,2.63948073,6.402764308,
POST,30,9.348523085,4.282586004,6.134661099,6.051051042,6.85953702,6.229380108,2.435994458,5.864039804,4.925540021,4.135864722,5.671066869,2.41725078,3.678305494,3.229972696,6.08059332,
POST,31,8.955160553,5.474906013,6.575076644,6.424639094,8.185939597,6.079912865,1.877680685,6.4362361,4.836808334,4.287042075,5.681569012,2.249787404,4.993883564,2.771217015,6.555267216,
POST,32,8.284929348,4.200075711,6.65548084,6.424639094,7.334869005,6.21196101,1.798856218,6.451192015,5.699089047,3.668800109,4.932039434,2.378659651,4.581338101,3.766819539,6.293139223,
POST,33,9.849478024,4.769943393,6.769776824,6.422692359,7.135113055,6.622831323,1.868925812,6.431124099,4.993972867,4.522241207,5.190935085,2.590920679,4.620613401,2.649174067,5.86645718,
POST,34,8.777366208,5.230576666,6.769776824,6.42298053,6.807598246,6.617633389,1.750243886,5.947127065,4.611941288,3.630467626,4.177692066,2.345227509,5.614909447,2.609800421,6.398207954,
POST,35,9.472429012,4.932490894,6.66498335,6.470561357,5.930577833,6.874126897,1.826827294,5.899117645,5.09087743,4.404089263,5.573107377,2.570442426,4.951496465,2.556173079,5.728347005,
POST,36,8.425090667,5.071426276,6.750257443,6.470561357,7.608832082,6.447096257,1.739128457,6.18556653,4.742793247,4.584118741,5.052266494,2.72164313,4.172003738,2.763971905,6.078400958,
POST,37,9.205728428,5.234354804,6.750257443,6.330033275,6.907819238,6.724316648,1.92527339,6.582491862,4.339123712,3.912469374,5.688294455,2.441597576,6.076283226,2.962099876,7.072090738,
POST,38,9.079290829,4.620708704,6.315414999,6.330033275,6.729086526,6.891576959,2.013060779,5.907955782,5.088240547,4.592164191,4.397647373,2.580920518,4.089908767,2.690883531,6.261071833,
POST,39,8.438483542,5.250560359,6.489237343,6.439330175,7.318201619,6.088601074,2.017321119,NaN,4.436871362,3.334216421,4.53047323,2.726673397,4.975459982,3.276658611,6.330617521,
POST,40,8.822553131,4.174280015,6.275210445,6.439330175,6.023002737,6.997750585,2.204843672,NaN,5.066575989,4.303618558,5.102465849,2.75186563,6.155335779,3.002287017,6.543852599,
POST,41,9.56189762,4.768922918,6.129858116,6.323385693,6.678581292,6.537961541,1.980376419,NaN,5.967590522,3.443243727,4.486945649,2.532009794,3.977089398,2.856402898,6.151520143,
POST,42,8.880390664,5.246105696,6.432852473,6.392273224,7.184942137,6.792270114,1.470141541,NaN,4.747637867,3.545069961,5.264160179,2.760130441,5.628811765,2.586744731,6.379301523,
POST,43,8.610472513,5.246105696,6.424999455,6.003371713,6.783166736,6.835149675,1.71951837,NaN,4.607456801,4.138052383,5.509531424,2.210683718,6.072878734,2.707955626,6.544916881,
POST,44,8.758812749,5.13640163,6.628306325,6.001996164,5.937785804,6.462962903,1.752578144,NaN,4.288054558,4.510015248,5.084107402,2.506001172,5.684451944,2.213349943,6.634828922,
POST,45,9.0606876,4.783748323,6.416849265,6.295854294,6.952494751,7.169896844,2.072515335,NaN,5.139104665,4.201825219,5.893529229,2.066761457,4.358036559,3.190692212,5.977032647,
POST,46,9.040809206,5.4841574,6.316366185,6.002378118,6.396038389,NaN,1.986117576,NaN,4.706611092,4.612703838,5.10606042,2.39099367,3.889207695,3.120497759,6.486091828,
POST,47,8.252714659,5.4841574,6.481300029,6.396326572,5.990281542,NaN,1.990416167,NaN,5.227139223,3.520390752,5.27858353,2.443618854,6.049912574,4.007964772,5.820233913,
POST,48,9.133922257,NaN,6.274695774,NaN,5.688278444,NaN,1.994351003,NaN,4.435788223,3.396987923,4.65658876,2.516214684,4.458780193,2.73957715,NaN,
POST,49,NaN,NaN,6.706210665,NaN,5.560184677,NaN,1.915376584,NaN,NaN,3.499622283,4.611941151,1.979657886,3.407322582,2.635213606,NaN,
